date_created,Concept,movement_number,reference,amount
18/01/2022,Retención Impuesto a la industria y comercio,877550228,156246678,3557671.83
07/02/2022,Retención Impuesto a la industria y comercio,877170799,149240102,11082312.8
16/02/2022,Cobro,873809806,165504077,575317.03
06/03/2022,Retención Impuesto al Valor Agregado,864519529,157703702,14967050.99
25/07/2022,Cobro,848380637,149227517,2203267.4
12/05/2022,Retención Impuesto a la fuente,862065214,145723806,5474182.86
18/03/2022,Retención Impuesto a la industria y comercio,842396398,155231952,6219376.0
26/02/2022,Retención Impuesto al Valor Agregado,850259803,145966691,1498497.62
07/05/2022,Retención Impuesto a la industria y comercio,842886500,150498686,6099703.01
24/07/2022,Retención Impuesto a la industria y comercio,843614973,144259022,7067780.71
14/06/2022,Retención Impuesto al Valor Agregado,879954146,145728831,11494712.9
24/05/2022,Retención Impuesto a la industria y comercio,843409866,165865765,4133271.89
04/01/2022,Retención Impuesto a la fuente,847533254,145068740,10065510.77
09/01/2022,Retención Impuesto al Valor Agregado,849994616,165729816,2435742.75
01/06/2022,Retención Impuesto al Valor Agregado,870028114,160211279,4579325.58
18/07/2022,Retención Impuesto a la fuente,856498712,147665733,986576.44
29/05/2022,Costo de PayDay,864336047,151748295,6331584.89
10/04/2022,Retención Impuesto al Valor Agregado,840443484,145779767,1072765.52
05/02/2022,Retención Impuesto a la industria y comercio,882407886,148449923,13107539.73
13/07/2022,Retención Impuesto al Valor Agregado,877525723,158540075,13007204.08
17/01/2022,Retención Impuesto a la fuente,890588823,153201496,10257608.57
24/02/2022,Retención Impuesto a la industria y comercio,836924943,166942435,4336423.77
15/05/2022,Retención Impuesto a la fuente,848844310,164407060,2228756.21
05/04/2022,Retención Impuesto al Valor Agregado,882543404,156991898,3852220.2
27/04/2022,Cobro,842149182,144909972,3154702.73
04/06/2022,Costo de PayDay,889198961,150538897,825582.5
03/02/2022,Retención Impuesto al Valor Agregado,876453062,155790629,714227.38
28/07/2022,Retención Impuesto a la industria y comercio,867537661,157654115,6717191.46
11/01/2022,Retención Impuesto al Valor Agregado,834920265,145562160,9231729.33
30/05/2022,Retención Impuesto a la industria y comercio,847421088,149025138,13852468.01
05/02/2022,Costo de PayDay,833300720,148188872,2167394.54
16/03/2022,Retención Impuesto al Valor Agregado,871984684,164620893,1368496.97
22/02/2022,Retención Impuesto a la fuente,833816945,148038604,4300054.34
03/06/2022,Cobro,842981393,144596569,8113103.98
27/03/2022,Retención Impuesto a la fuente,835889173,154792155,3676438.87
22/01/2022,Retención Impuesto a la industria y comercio,885496072,152502639,8469681.36
07/04/2022,Cobro,864475980,158877482,12907161.6
27/03/2022,Costo de PayDay,852424271,151378927,10781986.85
22/06/2022,Costo de PayDay,869711763,157319495,8481472.77
11/05/2022,Retención Impuesto al Valor Agregado,860654294,143806174,14884249.37
18/01/2022,Costo de PayDay,833523619,162029293,385464.43
16/02/2022,Retención Impuesto al Valor Agregado,837543145,151351752,8696085.01
09/05/2022,Retención Impuesto a la fuente,846663814,152086979,9613538.56
12/04/2022,Cobro,857746293,144900354,13998797.14
04/04/2022,Retención Impuesto a la industria y comercio,840236672,157828882,9681251.6
09/05/2022,Retención Impuesto a la industria y comercio,883080595,161255979,343341.44
16/07/2022,Costo de PayDay,861871189,148111154,9309202.41
13/07/2022,Costo de PayDay,881315056,166339669,591486.76
03/02/2022,Retención Impuesto a la industria y comercio,876108077,161368879,9890275.25
26/06/2022,Retención Impuesto al Valor Agregado,838102153,149512433,2077512.76
10/05/2022,Cobro,850248242,156636412,1253197.11
01/04/2022,Retención Impuesto a la fuente,866062193,146657864,5024119.74
20/04/2022,Retención Impuesto al Valor Agregado,872668453,158149456,488632.71
14/07/2022,Retención Impuesto al Valor Agregado,885860032,148097559,6054731.07
26/03/2022,Retención Impuesto a la industria y comercio,882617945,150697015,5355741.29
14/06/2022,Cobro,851658406,151555931,7383344.27
02/07/2022,Retención Impuesto al Valor Agregado,876131526,151308534,13141872.09
19/06/2022,Retención Impuesto al Valor Agregado,852701041,166032029,11465685.27
27/06/2022,Retención Impuesto al Valor Agregado,849304038,164356010,3828970.59
21/07/2022,Retención Impuesto al Valor Agregado,875146655,151539853,6795128.91
21/03/2022,Retención Impuesto al Valor Agregado,837296092,143987161,12609167.29
21/03/2022,Retención Impuesto a la industria y comercio,883230181,153716515,12709181.79
18/07/2022,Cobro,862506714,153250750,13942919.95
03/03/2022,Retención Impuesto al Valor Agregado,883742273,145138976,1889123.32
29/06/2022,Costo de PayDay,875020946,165364386,12158805.08
18/06/2022,Cobro,833052733,151635578,10336905.27
18/07/2022,Retención Impuesto al Valor Agregado,843465467,156152495,2537368.99
23/06/2022,Retención Impuesto al Valor Agregado,862762575,150251701,8645722.17
28/02/2022,Costo de PayDay,864497886,154684068,8065470.96
10/03/2022,Retención Impuesto a la fuente,868139401,158154624,2117435.65
12/03/2022,Retención Impuesto al Valor Agregado,850079157,150161769,2730320.79
19/03/2022,Retención Impuesto a la industria y comercio,856538230,155696511,6219114.68
29/04/2022,Retención Impuesto al Valor Agregado,881067583,145477537,1498564.54
19/04/2022,Cobro,870261037,164017905,3680605.81
27/04/2022,Cobro,840605863,154859166,13733076.7
22/05/2022,Retención Impuesto a la industria y comercio,841599127,156919561,13274979.16
23/07/2022,Retención Impuesto a la industria y comercio,884406998,158380025,559447.17
03/07/2022,Retención Impuesto a la industria y comercio,846459952,147215765,6902936.74
30/05/2022,Retención Impuesto a la industria y comercio,841019287,152271546,297952.94
13/05/2022,Retención Impuesto al Valor Agregado,837267751,148329889,10957181.25
06/02/2022,Retención Impuesto a la fuente,837233349,153437043,3782947.31
15/01/2022,Retención Impuesto al Valor Agregado,879183434,165380970,14966351.6
02/02/2022,Retención Impuesto a la industria y comercio,863403772,147751258,8697707.32
17/03/2022,Cobro,873158576,149926196,5617470.87
17/05/2022,Retención Impuesto a la industria y comercio,864879968,144692244,13590583.88
10/05/2022,Retención Impuesto al Valor Agregado,869088814,166529201,7627738.8
22/05/2022,Retención Impuesto a la industria y comercio,873535602,164070979,11903484.1
15/02/2022,Costo de PayDay,883275758,156614378,7993803.21
12/07/2022,Costo de PayDay,846047476,149677394,8027866.41
14/01/2022,Retención Impuesto a la fuente,877088147,165806513,9046034.22
30/01/2022,Costo de PayDay,884375351,164709743,1286356.63
19/01/2022,Retención Impuesto a la fuente,862222535,145423842,10611586.11
24/01/2022,Cobro,843082868,145595090,2401460.88
26/06/2022,Costo de PayDay,834371462,163990126,2114643.65
18/04/2022,Costo de PayDay,847687623,149076701,5727638.83
19/01/2022,Costo de PayDay,887733761,166637569,6900942.96
06/01/2022,Retención Impuesto a la industria y comercio,858865589,160944320,9556014.27
08/01/2022,Retención Impuesto al Valor Agregado,862287278,144692065,14477838.17
29/05/2022,Retención Impuesto a la industria y comercio,871056761,151199502,11189003.29
31/03/2022,Cobro,833134572,154812444,7015238.3
31/03/2022,Cobro,852069916,164258131,9040699.76
17/04/2022,Retención Impuesto a la fuente,883307176,150493289,6003986.02
25/01/2022,Retención Impuesto a la fuente,841625723,143691354,3551867.32
11/02/2022,Cobro,844364965,152883318,14588309.52
21/04/2022,Retención Impuesto a la industria y comercio,852038318,165355475,7735300.89
07/03/2022,Retención Impuesto al Valor Agregado,836871841,155819527,13699378.33
20/07/2022,Cobro,855520512,145604475,10814080.04
28/01/2022,Retención Impuesto al Valor Agregado,851749692,161316778,4430011.13
22/07/2022,Cobro,860139113,151849215,6669763.88
07/06/2022,Cobro,846855429,156158553,3824191.38
12/01/2022,Retención Impuesto al Valor Agregado,860430632,159068683,14202194.1
23/02/2022,Retención Impuesto a la industria y comercio,884212634,153194220,2674537.73
20/07/2022,Costo de PayDay,876054458,160375270,5363322.24
07/05/2022,Retención Impuesto a la industria y comercio,838275999,161894699,12013440.5
17/05/2022,Cobro,865585623,147864605,11998776.45
18/04/2022,Retención Impuesto a la fuente,833154779,163366752,10913377.16
13/07/2022,Retención Impuesto a la industria y comercio,873659814,154856698,10136288.52
30/01/2022,Cobro,833868040,163843646,3860553.92
21/07/2022,Retención Impuesto al Valor Agregado,872702138,152731887,9985814.79
23/04/2022,Retención Impuesto al Valor Agregado,860197691,163301481,6137899.38
15/05/2022,Retención Impuesto a la fuente,866500295,145706067,11153630.34
15/06/2022,Retención Impuesto al Valor Agregado,862697183,146313845,13936668.31
05/06/2022,Retención Impuesto a la fuente,889314118,144354873,3258526.47
05/03/2022,Retención Impuesto a la industria y comercio,848686071,153259707,11803687.25
25/05/2022,Cobro,840630057,161665565,12389731.89
17/03/2022,Retención Impuesto al Valor Agregado,851391754,159060390,7986376.09
18/03/2022,Retención Impuesto a la fuente,839158237,143380962,2179579.78
04/01/2022,Cobro,850630949,152720594,3608534.87
20/02/2022,Retención Impuesto al Valor Agregado,875832393,160778486,2442141.39
04/01/2022,Costo de PayDay,845536764,146241616,6067728.65
23/04/2022,Cobro,846806998,144465930,10201751.57
11/05/2022,Retención Impuesto a la fuente,857336620,152814158,11519033.8
14/03/2022,Retención Impuesto a la industria y comercio,850016306,145328436,2879376.53
27/04/2022,Retención Impuesto a la fuente,859099173,158536072,14577872.01
25/03/2022,Retención Impuesto al Valor Agregado,840333866,166980453,6333832.15
31/05/2022,Costo de PayDay,881714140,147848807,8774456.41
26/04/2022,Costo de PayDay,879667464,161751488,1313140.64
06/02/2022,Cobro,846193358,158365531,8235743.27
02/03/2022,Retención Impuesto al Valor Agregado,886568970,166957109,2784341.98
13/07/2022,Retención Impuesto a la industria y comercio,865752452,159143367,13422920.54
21/02/2022,Costo de PayDay,879023590,155338028,13434656.91
08/04/2022,Retención Impuesto a la industria y comercio,887734561,166739873,11448105.33
25/03/2022,Costo de PayDay,839616278,148761586,3694253.16
22/03/2022,Cobro,838025496,166231425,6248726.64
16/05/2022,Retención Impuesto a la industria y comercio,882040066,165153508,640147.15
19/03/2022,Retención Impuesto al Valor Agregado,870290780,155187878,3582238.99
09/07/2022,Retención Impuesto a la industria y comercio,836098538,152249407,1210868.37
29/07/2022,Retención Impuesto a la fuente,860133876,163302802,6409627.56
15/04/2022,Cobro,857148636,149337649,14232357.38
07/01/2022,Retención Impuesto a la fuente,833518935,162349228,1954546.46
24/01/2022,Cobro,856849281,153848769,2751628.68
31/03/2022,Retención Impuesto al Valor Agregado,833452266,146734729,8183324.36
22/07/2022,Retención Impuesto a la industria y comercio,862611933,164411026,12139451.03
05/04/2022,Retención Impuesto a la industria y comercio,877228411,147633905,9343123.77
28/02/2022,Retención Impuesto al Valor Agregado,849666800,152653886,1445173.51
19/07/2022,Retención Impuesto a la fuente,871114824,161720163,3043695.33
29/04/2022,Costo de PayDay,834985090,166359569,14730332.61
08/07/2022,Cobro,837002413,153898326,1421206.92
05/02/2022,Retención Impuesto al Valor Agregado,880599772,147806898,5246530.66
10/01/2022,Retención Impuesto a la fuente,891610588,148224982,14394177.81
28/02/2022,Cobro,887411162,149485331,12535694.23
23/05/2022,Cobro,849729486,158336932,6921666.6
04/07/2022,Costo de PayDay,835658704,164711014,6710008.53
26/04/2022,Cobro,839645536,148947061,7057093.23
21/05/2022,Retención Impuesto a la fuente,869554482,153277599,4806762.32
21/05/2022,Retención Impuesto a la fuente,852187263,156747742,9100829.43
25/04/2022,Cobro,875794381,154607734,12555598.55
03/04/2022,Retención Impuesto a la fuente,871254895,145088022,2349279.4
04/04/2022,Retención Impuesto a la industria y comercio,867084250,153225392,8550768.82
11/02/2022,Retención Impuesto a la industria y comercio,886277548,151512096,8720107.09
02/07/2022,Retención Impuesto al Valor Agregado,877447250,152678473,2343664.29
20/06/2022,Retención Impuesto a la industria y comercio,844822980,158739645,10620539.28
26/01/2022,Costo de PayDay,877640739,166038734,6001908.5
02/04/2022,Costo de PayDay,844501297,145929460,10460041.25
24/02/2022,Retención Impuesto al Valor Agregado,865773323,153057389,10521585.71
30/05/2022,Retención Impuesto a la industria y comercio,847764294,149846395,13799763.4
19/03/2022,Retención Impuesto a la industria y comercio,853716051,155089208,9419950.69
17/02/2022,Retención Impuesto a la fuente,886663499,161852001,5106366.88
27/02/2022,Retención Impuesto a la fuente,864232945,143380901,6792507.74
13/05/2022,Retención Impuesto a la fuente,892430078,144987753,5644317.56
26/01/2022,Retención Impuesto al Valor Agregado,851491413,159385723,5846308.96
04/06/2022,Retención Impuesto a la fuente,891317094,144402872,11780378.79
05/03/2022,Retención Impuesto a la fuente,891805748,166938646,11165689.92
17/07/2022,Costo de PayDay,844515617,160044496,8985242.48
09/04/2022,Cobro,892562069,163206143,3372369.1
12/01/2022,Costo de PayDay,864744079,143368744,1112587.4
25/02/2022,Retención Impuesto a la fuente,840269173,162138681,2571794.36
12/02/2022,Retención Impuesto a la fuente,880553726,145304967,12732106.38
23/04/2022,Retención Impuesto a la fuente,854598714,165371913,13651987.14
22/05/2022,Retención Impuesto a la fuente,862653368,150181050,4773819.71
21/06/2022,Costo de PayDay,890294852,150134985,13285032.45
17/04/2022,Costo de PayDay,866055879,161616499,2528207.14
28/03/2022,Retención Impuesto a la fuente,869213332,162859068,9522377.16
04/05/2022,Retención Impuesto al Valor Agregado,836257257,159784370,10037375.88
09/02/2022,Cobro,862847845,147012801,7044796.05
06/02/2022,Costo de PayDay,837105020,163304959,4860519.07
12/03/2022,Cobro,833517964,157129088,10062483.75
08/04/2022,Costo de PayDay,842252789,165105568,7024531.8
19/01/2022,Retención Impuesto al Valor Agregado,877586948,153803607,11660619.31
17/07/2022,Retención Impuesto al Valor Agregado,870801795,164167877,2967691.68
26/03/2022,Retención Impuesto a la industria y comercio,844438338,158024852,7132038.01
03/06/2022,Retención Impuesto a la fuente,868849149,166228563,5723941.68
15/07/2022,Retención Impuesto a la industria y comercio,870105253,149154674,9812550.77
12/06/2022,Costo de PayDay,836028411,164046865,11302138.9
22/06/2022,Retención Impuesto a la industria y comercio,842956285,161288481,1799953.13
07/06/2022,Retención Impuesto a la fuente,848948992,154771177,14147586.41
14/07/2022,Costo de PayDay,851189768,162310743,10878433.23
02/07/2022,Retención Impuesto al Valor Agregado,835774500,144178678,11615332.6
27/04/2022,Retención Impuesto a la fuente,884025100,155020094,11385801.83
10/01/2022,Retención Impuesto al Valor Agregado,847913172,146650545,7181632.36
20/02/2022,Retención Impuesto a la fuente,854165686,159742481,11015983.88
14/02/2022,Retención Impuesto a la fuente,845922108,147437148,10916790.03
28/03/2022,Retención Impuesto al Valor Agregado,873970190,154299383,14686897.01
01/05/2022,Retención Impuesto al Valor Agregado,891407277,150911387,4430904.28
28/05/2022,Cobro,886101497,159660666,6656667.03
04/02/2022,Retención Impuesto a la fuente,890788665,150936949,7154471.28
14/05/2022,Cobro,841064225,145149478,4201359.53
20/02/2022,Retención Impuesto a la industria y comercio,869894509,143550714,1566176.89
08/07/2022,Cobro,862156463,147054897,647514.45
15/07/2022,Retención Impuesto al Valor Agregado,873316848,161081740,9092171.09
02/05/2022,Cobro,848627446,160549311,730660.25
01/05/2022,Retención Impuesto a la fuente,836536394,161390961,12680836.02
27/07/2022,Cobro,888767014,165162846,4686807.27
19/05/2022,Costo de PayDay,881144206,150721589,12639481.36
05/05/2022,Retención Impuesto a la fuente,884782034,158700510,14466287.73
19/01/2022,Retención Impuesto a la industria y comercio,870597949,151800622,4994493.12
16/07/2022,Costo de PayDay,884972610,156196515,9009899.9
21/06/2022,Costo de PayDay,858262950,150847781,10612239.08
04/05/2022,Cobro,884951970,151102164,11615825.52
27/02/2022,Retención Impuesto a la industria y comercio,856356620,151357442,7892644.84
30/01/2022,Retención Impuesto a la fuente,852594606,167145221,990162.79
06/06/2022,Costo de PayDay,883320011,161872206,5754372.52
01/02/2022,Retención Impuesto a la industria y comercio,885324521,150836103,14024436.43
04/07/2022,Costo de PayDay,891212911,157600558,14310608.58
25/01/2022,Retención Impuesto al Valor Agregado,838094797,163752958,12985959.32
25/01/2022,Retención Impuesto a la fuente,853242905,164958798,10338637.62
07/04/2022,Retención Impuesto al Valor Agregado,861366210,149250048,10861099.04
09/06/2022,Cobro,887762385,164024101,7750469.74
07/02/2022,Cobro,889418965,145781324,11286814.13
15/04/2022,Retención Impuesto a la fuente,844281282,152279764,12686350.08
25/04/2022,Retención Impuesto a la fuente,851428796,144366683,3267895.23
01/04/2022,Cobro,847998809,152800371,9134586.19
14/07/2022,Retención Impuesto al Valor Agregado,876292045,154177442,3631323.83
22/02/2022,Costo de PayDay,857129976,151885223,12854825.13
17/03/2022,Costo de PayDay,876232642,148360841,13785275.29
07/04/2022,Retención Impuesto a la fuente,868478913,150803251,14037027.74
03/06/2022,Costo de PayDay,850698024,154216726,390098.46
20/02/2022,Retención Impuesto al Valor Agregado,876801292,148100063,13653217.48
26/05/2022,Retención Impuesto a la fuente,870464003,155850357,6512909.55
03/03/2022,Retención Impuesto al Valor Agregado,859269144,157134215,1558719.49
02/06/2022,Cobro,863265553,155462383,9841325.56
05/07/2022,Costo de PayDay,845973748,162430100,6338265.3
13/01/2022,Retención Impuesto al Valor Agregado,854649248,145077315,934951.9
29/06/2022,Retención Impuesto a la industria y comercio,884764673,146762965,9866211.26
12/06/2022,Retención Impuesto a la fuente,834630183,161368474,10770249.47
06/01/2022,Cobro,886808410,147982392,9793675.67
27/03/2022,Retención Impuesto a la industria y comercio,878933978,166505236,2744177.65
12/01/2022,Retención Impuesto a la fuente,834758950,165945901,7196804.44
10/04/2022,Cobro,852556590,160282897,11203809.72
11/06/2022,Retención Impuesto a la fuente,861054741,163400978,2650368.11
14/03/2022,Retención Impuesto a la industria y comercio,862205437,157887579,1947239.0
08/01/2022,Retención Impuesto al Valor Agregado,882375718,150287579,8594020.8
23/07/2022,Retención Impuesto al Valor Agregado,850169387,153660735,2435667.62
16/01/2022,Costo de PayDay,876458705,146772729,14555947.2
28/01/2022,Retención Impuesto a la fuente,838608815,166827766,5980393.31
