date_created,Concept,movement_number,reference,amount
24/10/2022,Costo de Payday,373352052,363798579,231475257.94
25/10/2022,Retencion Impuesto al Valor Agregado,158984514,158164264,510822864.77
24/10/2022,Costo de Payday,333770714,367556117,281448790.62
25/10/2022,Cobro,120121262,596690021,805892320.23
25/10/2022,Cobro,316025786,215754721,739739773.76
25/10/2022,Retencion Impuesto a la industria y comercio,654878042,482005545,188200508.57
25/10/2022,Impuesto a la fuente,537324437,570348031,299174539.55
25/10/2022,Retencion Impuesto a la industria y comercio,853319170,585015267,199747420.35
25/10/2022,Retencion Impuesto al Valor Agregado,149344611,804324679,687520098.19
25/10/2022,Cobro,827099779,190524835,440468554.62
24/10/2022,Retencion Impuesto a la industria y comercio,812373316,915626665,299469982.21
24/10/2022,Cobro,761783803,797227195,454307303.92
25/10/2022,Retencion Impuesto al Valor Agregado,142372341,204654233,757086263.06
25/10/2022,Cobro,861412285,484123156,126818247.19
25/10/2022,Impuesto a la fuente,728560019,653847391,921195977.3
25/10/2022,Impuesto a la fuente,312619166,295092991,113977038.22
25/10/2022,Retencion Impuesto al Valor Agregado,801631878,815924752,693044399.39
25/10/2022,Costo de Payday,260380904,523030364,623105774.22
24/10/2022,Cobro,763539577,167166270,245946886.7
25/10/2022,Costo de Payday,817636296,940009391,831048679.86
25/10/2022,Costo de Payday,943717226,369996929,519577921.99
25/10/2022,Cobro,105907014,398641456,741310819.81
25/10/2022,Costo de Payday,865874043,464327498,771976243.17
25/10/2022,Retencion Impuesto al Valor Agregado,936897746,454473027,699628315.5
25/10/2022,Costo de Payday,851102964,292504702,598370988.72
25/10/2022,Costo de Payday,495389750,941141059,861110367.25
25/10/2022,Impuesto a la fuente,373011275,685501073,217492086.46
24/10/2022,Cobro,198310181,913904501,382467686.74
25/10/2022,Retencion Impuesto al Valor Agregado,439810598,889016990,321456836.56
25/10/2022,Costo de Payday,976407899,504224849,793938229.7
25/10/2022,Retencion Impuesto al Valor Agregado,738866556,306996777,193566181.85
25/10/2022,Cobro,161380821,628419062,218536724.83
25/10/2022,Impuesto a la fuente,531303551,451823448,666683660.49
25/10/2022,Cobro,541488041,427035236,490077396.71
24/10/2022,Cobro,278996666,350489823,515400268.84
25/10/2022,Retencion Impuesto a la industria y comercio,101896542,959596952,173263663.36
25/10/2022,Retencion Impuesto a la industria y comercio,642352775,389215378,965148739.01
25/10/2022,Costo de Payday,158993343,773705778,688587645.93
24/10/2022,Costo de Payday,762466696,673647515,816452515.94
25/10/2022,Cobro,891713087,802896924,777296953.67
25/10/2022,Costo de Payday,507641027,458972819,414899011.43
24/10/2022,Impuesto a la fuente,715610922,107967733,788311260.5
25/10/2022,Costo de Payday,456956284,270338316,750440426.09
25/10/2022,Retencion Impuesto al Valor Agregado,561872102,467088710,523175191.75
25/10/2022,Impuesto a la fuente,191449175,947870993,242715119.34
25/10/2022,Retencion Impuesto al Valor Agregado,924625828,702554189,323558968.68
24/10/2022,Costo de Payday,994369758,928358353,185746904.01
25/10/2022,Retencion Impuesto al Valor Agregado,298730196,807238806,776905579.95
25/10/2022,Retencion Impuesto a la industria y comercio,756198453,156092999,454294829.97
25/10/2022,Retencion Impuesto a la industria y comercio,629367239,428483162,352751100.48
25/10/2022,Cobro,942476161,618394338,464882021.95
25/10/2022,Cobro,399201373,717560350,753415351.6
24/10/2022,Impuesto a la fuente,618597185,758297508,220418629.75
25/10/2022,Cobro,608402685,878007821,200586909.94
24/10/2022,Cobro,652565031,392844456,136412555.98
25/10/2022,Retencion Impuesto a la industria y comercio,723270818,168253818,639518002.88
25/10/2022,Cobro,612235793,914785943,664363556.94
24/10/2022,Impuesto a la fuente,548501986,905095855,655693729.38
25/10/2022,Cobro,299945164,414374261,820960144.63
25/10/2022,Retencion Impuesto al Valor Agregado,958383933,863991531,626436556.77
24/10/2022,Retencion Impuesto a la industria y comercio,407288729,234285444,663088215.54
25/10/2022,Impuesto a la fuente,222694783,552044747,496431254.11
24/10/2022,Costo de Payday,929314335,383016542,986464905.37
25/10/2022,Retencion Impuesto al Valor Agregado,232508874,353811279,905868670.7
24/10/2022,Impuesto a la fuente,709315031,421881161,851893825.71
25/10/2022,Retencion Impuesto al Valor Agregado,111747351,217562392,575709917.52
25/10/2022,Impuesto a la fuente,379164249,640985424,599578143.99
24/10/2022,Retencion Impuesto al Valor Agregado,874588633,989168572,362593270.16
25/10/2022,Costo de Payday,800380586,505688902,877503400.86
