date_created,Concept,movement_number,reference,amount
5/5/2022,Cobro Impuesto a la industria y comercio,856647033,152193931,13425841.13
13/06/2022,Costo de PayDay,840096837,153309770,978228.61
12/3/2022,Costo de PayDay,855474273,143756557,13971554.69
30/04/2022,Retención de PayDay,855632102,154733101,2637110.77
26/01/2022,Retención,855168590,143449156,7739680.56
13/02/2022,Retención de PayDay,840555457,144035871,12859997.66
11/2/2022,Retención Impuesto a la industria y comercio,841503442,144808907,12236924.88
28/03/2022,Retención Impuesto a la industria y comercio,878930623,146087082,8756367.62
17/05/2022,Retención Impuesto al Valor Agregado,883786509,150748867,338589
29/07/2022,Retención Impuesto al Valor Agregado,841457180,144672843,6440181.31
28/06/2022,Retención Impuesto al Valor Agregado,885209209,144680568,2891405.14
22/07/2022,Costo de PayDay,851721254,146138047,1445347.21
28/05/2022,Costo de PayDay,847255971,144501168,14969444.67
25/02/2022,Retención Impuesto al Valor Agregado,842369187,145776868,2490030.23
13/06/2022,Costo de PayDay,892557048,153611418,5446264.53
22/06/2022,Cobro,844927271,164029252,4096853.59
3/2/2022,Retención Impuesto al Valor Agregado,890819757,144898457,5232419.38
27/03/2022,Costo de PayDay,870049349,157847050,8583487.45
24/07/2022,Retención Impuesto al Valor Agregado,853502460,153497339,9689660.95
1/5/2022,Retención Impuesto a la industria y comercio,869086962,154957067,11927861.32
1/5/2022,Retención Impuesto al Valor Agregado,872398645,153478642,2193942.19
11/7/2022,Retención Impuesto al Valor Agregado,888715727,161415295,3758940.9
10/5/2022,Retención Impuesto a la industria y comercio,869070987,145930459,4413305.15
4/5/2022,Retención Impuesto a la industria y comercio,892439172,165311649,11379487.64
17/01/2022,Costo de PayDay,850893699,150886775,7578349.71
6/1/2022,Costo de PayDay,866410084,163931999,1346553.17
26/03/2022,Retención Impuesto al Valor Agregado,887319522,147596431,3982257.4
17/07/2022,Retención Impuesto a la fuente,890750133,147782440,1541877.25
16/02/2022,Costo de PayDay,855654263,162437007,6949658.67
31/05/2022,Retención Impuesto al Valor Agregado,859000174,151532349,10818987.88
17/01/2022,Retención Impuesto a la industria y comercio,864461533,147567131,12946901.3
14/01/2022,Retención Impuesto a la fuente,881572738,144899274,3628578.73
28/03/2022,Retención Impuesto a la fuente,876911319,156357419,6566583.79
8/3/2022,Cobro,880244376,148282039,9326438.83
15/05/2022,Cobro,882456918,147177863,8926852.25
17/05/2022,Retención Impuesto al Valor Agregado,882998103,144091226,3550399.45
14/03/2022,Retención Impuesto a la fuente,881028294,166839572,12169109.05
13/02/2022,Retención Impuesto a la industria y comercio,861891819,163418099,10623482.9
30/05/2022,Cobro,851077431,152267611,14814146.28
20/01/2022,Retención Impuesto a la fuente,859862227,162272086,4187357.7
12/2/2022,Retención Impuesto a la industria y comercio,891537206,149826374,13525054.65
7/2/2022,Retención Impuesto a la industria y comercio,871755785,143882386,8888557.94
10/1/2022,Retención Impuesto a la industria y comercio,846999713,164340672,3457496.49
13/01/2022,Retención Impuesto al Valor Agregado,877065180,147894031,11714869.54
30/01/2022,Costo de PayDay,842413966,146134596,6735234.24
19/05/2022,Retención Impuesto al Valor Agregado,872864580,160435936,9145006.45
